District Names,State/UT,QualityWater,Literacy,AntenatalCare,InstitutionalBirths,Homebirths,BirthBySkilledProfessional,Obesity,Tobacco,Alcohol,PostnatalCare,Safety_Score,Rank
Chhatarpur ,Madhya Pradesh,86.5,63.68,36.88,85.22,2.2,84.44,13.87,10.81,0.48,72.2,0.7777604707699615,493
Bishnupur ,Manipur,77.68,88.38,77.39,89.5,3.09,92.58,40.92,48.77,0.8,79.0,0.777561406067485,494
Faizabad ,Uttar Pradesh,100.0,77.7,33.76,89.11,3.16,91.62,24.47,8.68,0.16,75.48,0.7761511454724913,495
Kamrup ,Assam,92.14,79.6,46.86,85.03,4.27,88.54,23.52,14.3,3.23,61.43,0.7757566909047556,496
Singrauli ,Madhya Pradesh,77.9,65.36,58.07,69.85,9.24,77.53,11.9,5.76,1.23,72.18,0.7754144292078732,497
Sagar ,Madhya Pradesh,86.69,74.33,35.91,86.89,2.41,82.46,20.16,10.6,0.33,71.47,0.7753596229624856,498
Allahabad ,Uttar Pradesh,95.79,70.84,45.88,83.19,6.09,85.48,25.54,11.91,0.21,67.54,0.7746740369136149,499
Chirang ,Assam,92.12,71.47,56.53,83.65,2.71,82.94,13.33,18.62,8.93,59.73,0.774505365642097,500
Parbhani ,Maharastra,88.97,73.36,47.35,85.61,7.3,90.83,23.72,6.95,0.06,64.4,0.7744649479443719,501
Rae Bareli ,Uttar Pradesh,98.07,66.45,43.57,89.51,4.54,90.77,18.73,11.78,0.51,60.11,0.7744614754379244,502
West Tripura ,Tripura,98.49,86.19,61.22,95.27,1.63,96.9,26.81,47.71,3.5,87.7,0.7741203441018251,503
Garhwal ,Uttarakhand,83.5,85.83,39.62,76.02,2.36,76.91,20.95,6.44,0.74,63.95,0.7740775845049185,504
Alirajpur ,Madhya Pradesh,89.62,42.13,54.71,83.17,7.54,87.48,10.88,10.6,7.02,79.91,0.7740633347642775,505
Pilibhit ,Uttar Pradesh,100.0,59.31,43.58,76.19,6.15,80.23,21.36,4.91,0.19,72.59,0.7731142612626318,506
Surguja ,Chhattisgarh,96.39,73.68,57.71,85.34,4.32,89.42,15.25,24.03,12.07,83.39,0.7729235146676873,507
Bokaro ,Jharkhand,86.42,72.56,48.71,80.86,8.49,86.52,15.09,8.99,2.01,73.5,0.7721567387141269,508
Dindori ,Madhya Pradesh,66.07,66.79,56.5,77.62,6.97,84.33,7.94,22.82,6.81,82.87,0.7718227836365548,509
Mewat ,Haryana,97.06,45.06,45.88,74.63,5.25,77.75,14.85,4.74,0.33,65.91,0.7715210725068122,510
Koraput ,Odisha,89.45,41.68,79.19,82.07,5.94,86.26,9.24,32.67,11.51,83.52,0.7713814640837531,511
Banda ,Uttar Pradesh,98.22,62.61,39.02,89.78,4.43,92.53,13.54,19.68,0.45,73.67,0.7703364629561352,512
Sonitpur ,Assam,82.87,76.91,45.49,83.49,1.27,82.77,13.14,23.26,4.39,63.53,0.7700022555901391,513
Alwar ,Rajasthan,97.61,65.64,29.97,91.27,0.98,90.79,17.29,9.74,0.28,72.87,0.7698509583498686,514
Ballia ,Uttar Pradesh,99.82,73.3,30.52,89.96,4.5,93.14,16.56,2.18,0.45,76.57,0.7694529223381226,515
Nandurbar ,Maharastra,94.6,57.66,58.17,76.29,7.01,77.94,12.92,26.65,2.79,74.42,0.7693811852363834,516
Bilaspur ,Chhattisgarh,93.62,74.32,46.87,79.44,8.14,85.64,17.07,11.48,2.55,75.74,0.7692001238657376,517
Siddharthnagar ,Uttar Pradesh,99.87,49.14,60.86,69.74,7.38,67.62,12.85,14.62,0.17,61.8,0.7686847624189275,518
Ghazipur ,Uttar Pradesh,99.32,75.84,29.22,88.32,2.96,90.51,14.32,4.37,0.16,71.53,0.7673521673143567,519
Amethi ,Uttar Pradesh,98.67,67.28,31.69,90.76,3.35,91.39,23.51,11.46,0.44,76.33,0.7673278655238265,520
Korba ,Chhattisgarh,82.21,77.59,49.34,75.4,7.09,78.17,16.21,18.57,3.71,76.73,0.7670722510287727,521
Baksa ,Assam,89.78,74.8,56.01,89.88,4.64,92.1,18.8,14.86,11.88,65.02,0.7664661696423122,522
Morigaon ,Assam,94.59,78.68,41.95,88.3,1.67,89.96,14.21,29.85,1.88,67.93,0.7654672913239499,523
Rewa ,Madhya Pradesh,82.08,67.74,32.99,80.43,4.08,79.87,18.17,7.58,0.63,77.73,0.7652151330961152,524
Moradabad ,Uttar Pradesh,99.8,69.41,33.15,80.26,5.33,85.59,17.01,3.57,0.3,76.09,0.7651372005720615,525
Jashpur ,Chhattisgarh,88.83,75.08,48.57,85.62,1.71,78.56,13.43,21.24,12.11,82.7,0.76498196485478,526
Budaun ,Uttar Pradesh,99.83,52.39,40.57,72.31,2.75,73.07,15.2,7.11,0.49,62.43,0.7646385575234834,527
Sheikhpura ,Bihar,98.43,55.01,28.35,89.2,3.67,91.76,13.31,2.05,0.17,77.09,0.7642790021040501,528
Aizawl ,Mizoram,98.27,98.86,68.51,97.44,0.34,97.78,29.7,54.72,0.98,73.37,0.7638452096300119,529
Mathura ,Uttar Pradesh,98.44,67.93,39.3,79.48,4.33,81.51,25.37,9.27,0.05,62.81,0.7637116271485902,530
Darrang ,Assam,99.72,75.55,37.48,84.41,2.32,87.03,13.31,10.24,0.3,53.23,0.7635746211273169,531
Dibrugarh ,Assam,98.06,76.58,75.64,93.09,1.15,95.34,20.88,27.85,19.04,82.05,0.7634832907484842,532
Tinsukia ,Assam,96.84,70.51,63.14,82.63,1.02,83.17,16.9,23.13,15.65,73.56,0.7626730710463897,533
South Garo Hills ,Meghalaya,60.35,88.57,33.25,88.28,3.87,91.19,6.93,9.68,1.36,65.9,0.7625209680132169,534
Arwal ,Bihar,99.86,62.54,34.51,79.16,5.35,83.11,12.36,2.37,0.56,70.1,0.7615416571432057,535
Banka ,Bihar,96.31,55.73,31.74,79.79,3.77,80.4,13.4,1.81,0.49,72.26,0.7614366211737165,536
Gonda ,Uttar Pradesh,100.0,60.39,41.68,81.77,5.67,82.55,17.51,18.04,0.4,68.62,0.7609369561448157,537
Nawada ,Bihar,99.25,62.1,31.62,79.94,4.2,79.47,15.72,2.91,0.93,74.11,0.7609025932631661,538
Kannauj ,Uttar Pradesh,99.85,68.25,46.44,76.41,8.82,81.5,18.76,8.69,0.32,70.27,0.7607404820952095,539
